trigger,condition,original,texform,big,small,animate,inanimate
1,original/big/animate,1,0,1,0,1,0
2,original/big/animate,1,0,1,0,1,0
3,original/big/animate,1,0,1,0,1,0
4,original/big/animate,1,0,1,0,1,0
5,original/big/animate,1,0,1,0,1,0
6,original/big/animate,1,0,1,0,1,0
7,original/big/animate,1,0,1,0,1,0
8,original/big/animate,1,0,1,0,1,0
9,original/big/animate,1,0,1,0,1,0
10,original/big/animate,1,0,1,0,1,0
11,original/big/animate,1,0,1,0,1,0
12,original/big/animate,1,0,1,0,1,0
13,original/big/animate,1,0,1,0,1,0
14,original/big/animate,1,0,1,0,1,0
15,original/big/animate,1,0,1,0,1,0
16,original/big/inanimate,1,0,1,0,0,1
17,original/big/inanimate,1,0,1,0,0,1
18,original/big/inanimate,1,0,1,0,0,1
19,original/big/inanimate,1,0,1,0,0,1
20,original/big/inanimate,1,0,1,0,0,1
21,original/big/inanimate,1,0,1,0,0,1
22,original/big/inanimate,1,0,1,0,0,1
23,original/big/inanimate,1,0,1,0,0,1
24,original/big/inanimate,1,0,1,0,0,1
25,original/big/inanimate,1,0,1,0,0,1
26,original/big/inanimate,1,0,1,0,0,1
27,original/big/inanimate,1,0,1,0,0,1
28,original/big/inanimate,1,0,1,0,0,1
29,original/big/inanimate,1,0,1,0,0,1
30,original/big/inanimate,1,0,1,0,0,1
31,original/small/animate,1,0,0,1,1,0
32,original/small/animate,1,0,0,1,1,0
33,original/small/animate,1,0,0,1,1,0
34,original/small/animate,1,0,0,1,1,0
35,original/small/animate,1,0,0,1,1,0
36,original/small/animate,1,0,0,1,1,0
37,original/small/animate,1,0,0,1,1,0
38,original/small/animate,1,0,0,1,1,0
39,original/small/animate,1,0,0,1,1,0
40,original/small/animate,1,0,0,1,1,0
41,original/small/animate,1,0,0,1,1,0
42,original/small/animate,1,0,0,1,1,0
43,original/small/animate,1,0,0,1,1,0
44,original/small/animate,1,0,0,1,1,0
45,original/small/animate,1,0,0,1,1,0
46,original/small/inanimate,1,0,0,1,0,1
47,original/small/inanimate,1,0,0,1,0,1
48,original/small/inanimate,1,0,0,1,0,1
49,original/small/inanimate,1,0,0,1,0,1
50,original/small/inanimate,1,0,0,1,0,1
51,original/small/inanimate,1,0,0,1,0,1
52,original/small/inanimate,1,0,0,1,0,1
53,original/small/inanimate,1,0,0,1,0,1
54,original/small/inanimate,1,0,0,1,0,1
55,original/small/inanimate,1,0,0,1,0,1
56,original/small/inanimate,1,0,0,1,0,1
57,original/small/inanimate,1,0,0,1,0,1
58,original/small/inanimate,1,0,0,1,0,1
59,original/small/inanimate,1,0,0,1,0,1
60,original/small/inanimate,1,0,0,1,0,1
